Aleppo Sweets — 107 Ives Street, Providence, Rhode Island 02906 — (401) 533-9019 — https://www.alepposweets.com/
Persimmon — 99 Hope Street, Providence, Rhode Island 02906 — (401) 432-7422 — http://www.persimmonri.com/menu/
Pizza Marvin — 468 Wickenden Street, Providence, Rhode Island 02906 — (401) 262-3336 — https://www.pizzamarvin.com/
Plant City — 334 S Water Street, Providence, Rhode Island 02906 —  (401) 429-2029 — https://www.plantcitypvd.com/
Pokeworks — 213 Thayer Street, Providence, Rhode Island 02906 — (401) 240-4886 — https://www.pokeworks.com/rhode-island
Providence Tattoo — 270 Wickenden Street, Providence, Rhode Island 02903 — (401) 521-3085 — https://providencetattoo.com/home.html
Friends Market — 126 Brook St, Providence, RI 20906 — (401) 861-0345 — https://www.facebook.com/Friends-Market-127944943946093/
PVDonuts — 79 Ives Street, Providence, Rhode Island 02906, —       https://www.pvdonuts.com/
Red Stripe — 465 Angell Street, Providence, Rhode Island 02906 — (401) 437-6950 — https://redstriperestaurants.com/
Rockstar —  394 Wickenden Street, Providence, Rhode Island 02903 — (401) 272-0345 — https://www.rockstarpiercing.com/
Sakura Restaurant — 231 Wickenden Street, Providence, Rhode Island 02906 — (401) 331-6861 — http://www.providencesakura.com/
Shake Shack — 249 Thayer Street, Providence, Rhode Island 02906 — (401) 214-1823 — https://www.shakeshack.com/
Starbucks (Thayer) — 218 Thayer Street, Providence, Rhode Island 02906 — (401) 421-1677
Subway — 114 Waterman Street, Providence, Rhode Island 02906 — (401) 490-8178
Tallulah's Taqueria — 146 Ives Street, Providence, Rhode Island 02906 — (401) 272-8226 — http://www.tallulahstaqueria.com/menu/
Taste of India — 230 Wickenden Street, Providence, Rhode Island 02906 — (401) 421-4355 — www.tasteofindiari.com
Tea in Sahara — 69 Governor Street, Providence, Rhode Island 02906 — (401) 709-3252 — www.teainsahara.com
Ten One Tea House — 216 Thayer Street, Providence, Rhode Island 02906 — (401) 642-1516
The Shop | Fox Point — 460 Wickenden Street, Providence, Rhode Island 02906 — (401) 684-1140 — http://www.theshopfoxpoint.com/
Wong's Kitchen — 108 Waterman Street, Providence, Rhode Island 02906 — (401) 272-2188 — http://wongskitchenri.com/
Wow Barbecue Providence — 183 Angell Street, Providence, Rhode Island 02906 — (401) 521-0888
Yan's Cuisine — 83 Benevolent Street, Providence, Rhode Island 02906 — (401) 751-8888 — https://www.yansprovidence.com/?utm_source=gmb&utm_medium=reservation
